Genus,kingdomGBIF,phylumGBIF,classGBIF,orderGBIF,familyGBIF
Euchorthippus,Animalia,Arthropoda,Insecta,Orthoptera,NA
Alces,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae
Cyanistes,Animalia,Chordata,Aves,Passeriformes,Paridae
Fringilla,Animalia,Chordata,Aves,Passeriformes,Fringillidae
Phylloscopus,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae
Carduelis,Animalia,Chordata,NA,Passeriformes,Fringillidae
Anthus,Animalia,Chordata,Aves,Passeriformes,Motacillidae
Erithacus,Animalia,Chordata,Aves,Passeriformes,Turdidae
Parus,Animalia,Chordata,Aves,Passeriformes,Paridae
Motacilla,Animalia,Chordata,Aves,Passeriformes,Motacillidae
Bombus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae
Raphicerus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae
Litocranius,Animalia,Chordata,Mammalia,Pecora,Bovidae
Giraffa,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae
Canis,Animalia,Chordata,Mammalia,Carnivora,Canidae
Felis,Animalia,Chordata,Mammalia,Carnivora,Felidae
Ichneumia,Animalia,Chordata,Mammalia,Carnivora,Herpestidae
Panthera,Animalia,Chordata,Mammalia,Carnivora,Felidae
Proteles,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae
Crocuta,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae
Hyaena,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae
Lepus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae
Phacochoerus,Animalia,NA,NA,NA,NA
Gazella,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae
Alcelaphus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae
Oryx,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae
Kobus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae
Equus,Animalia,Chordata,Mammalia,Perissodactyla,Equidae
Syncerus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae
Sylvicapra,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae
Aepyceros,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae
Tragelaphus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae
Taurotragus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae
Papio,NA,NA,NA,NA,Cercopithecidae
Orycteropus,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae
Hystrix,NA,NA,NA,NA,NA
Leptodactylus,Animalia,Chordata,Amphibia,Anura,Leptodactylidae
Rhinella,Animalia,Chordata,Amphibia,Anura,Bufonidae
Elachistocleis,Animalia,Chordata,Anura,Amphibia,Microhylidae
Lysapsus,Animalia,Chordata,Anura,Amphibia,Hylidae
Odontophrynus,Animalia,Chordata,Amphibia,Anura,Cycloramphidae
Physalaemus,Animalia,Chordata,Anura,Amphibia,Leptodactylidae
Pseudopaludicola,Animalia,Chordata,Amphibia,Anura,Leiuperidae
Scinax,Animalia,Chordata,Amphibia,Anura,Hylidae
Kentropyx,Animalia,Chordata,Lepidosauria,Squamata,Teiidae
Mabuya,Animalia,Chordata,Reptilia,Squamata,Scincidae
Ophiodes,Animalia,Chordata,Lepidosauria,Squamata,Diploglossidae
Cercosaura,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae
Teius,Animalia,Chordata,Squamata,Reptilia,Teiidae
Tupinambis,Animalia,Chordata,Reptilia,Squamata,Teiidae
Heteronyx,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae
Neocarenum,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Arthropterus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Isopteron,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae
Microferonia,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Cenogmus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Omorgus,NA,NA,NA,NA,NA
Rhytisternus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Cratogaster,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Scopodes,NA,NA,NA,NA,NA
Clay-coloured sparrow,Animalia,Chordata,Passeriformes,Aves,Passerellidae
Savannah sparrow,Animalia,Chordata,Aves,Passeriformes,Passerellidae
Vesper sparrow,NA,NA,Aves,Passeriformes,Emberizidae
Western meadowlark,NA,NA,Aves,Passeriformes,Icteridae
Le Conte's sparrow,Animalia,Chordata,Passeriformes,Aves,Passerellidae
Bobolink,NA,NA,NA,NA,NA
Abax,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Amara,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Anisodactylus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Bembidion,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Calathus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Carabus,Animalia,Arthropoda,Hexapoda,Coleoptera,Carabidae
Cychrus,NA,NA,NA,NA,NA
Harpalus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Leistus,NA,NA,NA,NA,NA
Microlestes,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Nebrida,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae
Pageus,Animalia,Arthropoda,Merostomata,NA,NA
Poecilus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Pseudoophonus,Animalia,Arthropoda,Insecta,Coleoptera,NA
Pterostichus,NA,NA,NA,NA,NA
Oryctolagus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae
Emys,Animalia,Chordata,Reptilia,Testudines,Emydidae
Lasiopodomys,Animalia,Chordata,Rodentia,Mammalia,Cricetidae
Tympanuchus,Animalia,Chordata,Aves,Galliformes,Phasianidae
Ammodramus,Animalia,Chordata,Aves,Passeriformes,Emberizidae
Dolichonyx,Animalia,Chordata,Aves,Passeriformes,Icteridae
Passerculus,Animalia,Chordata,NA,Passeriformes,Emberizidae
Pooecetes,Animalia,NA,Aves,NA,Passerellidae
Spizella,Animalia,Chordata,Aves,Passeriformes,Passerellidae
Sturnella,Animalia,Chordata,Aves,Passeriformes,Icteridae
Branta,NA,NA,NA,NA,Anatidae
Polyphaga,Animalia,Arthropoda,Insecta,Blattodea,Polyphagidae
Gutierrezia,NA,NA,NA,NA,Compositae
Ammospermophilus,Animalia,Chordata,Rodentia,Mammalia,Sciuridae
Chaetodipus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae
Dipodomys,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae
Neotoma,Animalia,Chordata,Mammalia,Rodentia,Cricetidae
Peromyscus,NA,NA,NA,NA,Cricetidae
Acroneuria,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae
Agarodes,Animalia,Arthropoda,Insecta,Trichoptera,Sericostomatidae
Allocapnia,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae
Amphinemura,Animalia,Arthropoda,Insecta,Plecoptera,Nemouridae
